Species,Amino_acid,Mean,Standard Deviation
Dbus,Alanine,33.45808383,27.40117383
Dgri,Alanine,33.11826347,28.63411478
Dvir,Alanine,34.30239521,28.43928582
Dnov,Alanine,34.19760479,28.44674438
Dhyd,Alanine,32.66167665,27.11742302
Dnav,Alanine,32.93562874,27.52886538
Dmoj,Alanine,33.01796407,27.57298573
Dari,Alanine,32.81886228,27.50933009
Dwil,Alanine,30.42964072,25.48432487
Dobs,Alanine,33.46706587,26.63350787
Dmir,Alanine,32.75149701,26.66913012
Dper,Alanine,32.69760479,26.51945952
Dpse,Alanine,32.74101796,26.61188077
Dbip,Alanine,31.56287425,24.95051652
Dana,Alanine,31.83982036,25.24131988
Dser,Alanine,32.69610778,25.87037546
Dkik,Alanine,33.2994012,26.36919628
Dfic,Alanine,32.04191617,25.55104326
Drho,Alanine,31.62125749,24.92114034
Dele,Alanine,32.43113772,25.73267695
Deug,Alanine,30.70658683,24.29418928
Dere,Alanine,32.10778443,24.87462534
Dyak,Alanine,32.02245509,24.98763302
Dmel,Alanine,31.60329341,24.62571007
Dsec,Alanine,31.70808383,24.68822311
Dsim,Alanine,31.7245509,24.81104959
Dtak,Alanine,32.25598802,25.62359371
Dbia,Alanine,32.66467066,25.34046684
Dsuz,Alanine,31.10329341,24.37426423
Dbus,Arginine,22.92215569,17.87277846
Dgri,Arginine,23.64371257,19.00048147
Dvir,Arginine,23.86826347,18.95431291
Dnov,Arginine,23.77694611,18.88701373
Dhyd,Arginine,23.39670659,17.93850368
Dnav,Arginine,23.60179641,18.13220142
Dmoj,Arginine,23.62724551,18.13865405
Dari,Arginine,23.45658683,18.08143087
Dwil,Arginine,22.91167665,18.28361392
Dobs,Arginine,23.81586826,18.65782598
Dmir,Arginine,23.86826347,18.67886936
Dper,Arginine,23.8502994,18.66154919
Dpse,Arginine,23.92065868,18.6465907
Dbip,Arginine,23.60479042,18.82857508
Dana,Arginine,23.68562874,19.04944966
Dser,Arginine,24.05538922,18.98673689
Dkik,Arginine,24.18562874,18.99289625
