X1,D.ananassae,D.arizonae,D.biarmipes,D.bipectinata,D.busckii,D.elegans,D.erecta,D.eugracilis,D.ficusphila,D.grimshawi,D.hydei,D.kikkawai,D.melanogaster,D.miranda,D.mojavensis,D.navojoa,D.novamexicana,D.obscura,D.persimilis,D.pseudoobscura,D.rhopaloa,D.sechellia,D.serrata,D.simulans,D.suzukii,D.takahashii,D.virilis,D.willistoni,D.yakuba
OG0010611,XP_001952895.2,XP_017856193.1,XP_016948981.1,XP_017099450.1,XP_017844621.1,XP_017122447.1,XP_001981040.1,XP_017073294.1,XP_017057284.1,XP_001994869.1,XP_023173837.2,XP_017026451.1,NP_651898.2,XP_017141591.1,XP_001999945.1,XP_017969150.2,XP_030573291.1,XP_022210980.1,XP_002013245.1,XP_002137546.1,XP_016979827.1,XP_002043750.1,XP_020798535.1,XP_016037155.1,XP_016931254.1,XP_017007671.1,XP_002054443.1,XP_002070613.1,XP_002099556.1
OG0010612,XP_001952913.1,XP_017874031.1,XP_016950356.1,XP_017100952.1,XP_017845678.1,XP_017117223.1,XP_001979930.1,XP_017076663.1,XP_017047122.1,XP_001994820.1,XP_023173798.1,XP_017026514.1,NP_524351.1,XP_017144746.1,XP_001999996.1,XP_017953573.1,XP_030573487.1,XP_022215162.1,XP_002012936.1,XP_001358236.1,XP_016981584.1,XP_002031198.1,XP_020798551.1,XP_002103440.2,XP_016931362.1,XP_017002473.1,XP_002054494.1,XP_002070597.1,XP_002097863.1
OG0010614,XP_001952936.1,XP_017873759.1,XP_016961405.1,XP_017100624.1,XP_017845305.1,XP_017112261.1,XP_001980672.2,XP_017079999.1,XP_017040192.1,XP_032593280.1,XP_023174270.1,XP_017026883.1,NP_650002.1,XP_017144551.1,XP_001998572.1,XP_030244007.1,XP_030559854.1,XP_022210824.1,XP_002012866.1,XP_001358190.2,XP_016973565.1,XP_002031743.1,XP_020815776.1,XP_002103982.1,XP_016944385.1,XP_017001385.1,XP_002053067.3,XP_002069485.1,XP_002097099.1
OG0010615,XP_001952937.1,XP_017873768.1,XP_016961406.1,XP_017100637.1,XP_017845306.1,XP_017112262.1,XP_001980673.1,XP_017080000.1,XP_017040193.1,XP_001990019.1,XP_023174271.1,XP_017026885.1,NP_650001.2,XP_017139570.1,XP_001998571.1,XP_030244011.1,XP_030559855.1,XP_022210825.1,XP_002012867.1,XP_001358191.1,XP_016973566.1,XP_002031744.2,XP_020815788.1,XP_002103983.2,XP_016944401.1,XP_017001386.1,XP_002053065.1,XP_002069486.1,XP_002097098.1
OG0010616,XP_001952965.1,XP_017860004.1,XP_016950250.1,XP_017091330.1,XP_017849915.1,XP_017119108.1,XP_001980699.1,XP_017067197.1,XP_017040078.1,XP_001993993.1,XP_023165619.2,XP_017038160.1,NP_649983.2,XP_017143351.1,XP_002000945.1,XP_017953550.2,XP_030558916.1,XP_022210652.1,XP_002012897.1,XP_002137200.1,XP_016977550.1,XP_032576845.1,XP_020810901.1,XP_016035335.1,XP_016925808.1,XP_017002543.1,XP_002056272.1,XP_023035915.1,XP_002097067.1
OG0010617,XP_001952984.1,XP_017856423.1,XP_016960312.1,XP_017091286.1,XP_017836599.1,XP_017110566.1,XP_026839646.1,XP_017083674.1,XP_017057498.1,XP_001994658.1,XP_023167525.1,XP_017026878.1,NP_650007.1,XP_017143008.1,XP_001998321.1,XP_017954788.1,XP_030565163.1,XP_022216369.1,XP_002019867.1,XP_001360008.2,XP_016990002.1,XP_002031728.1,XP_020815977.1,XP_002103966.1,XP_016941821.1,XP_017004995.1,XP_002053616.1,XP_002069967.1,XP_002097112.1
OG0010618,XP_001952986.1,XP_017856422.1,XP_016960313.1,XP_017091169.1,XP_017849949.1,XP_017133471.1,XP_001980656.1,XP_017083949.1,XP_017057406.1,XP_001994656.1,XP_023167530.1,XP_017026560.1,NP_731495.1,XP_017144859.1,XP_001998319.1,XP_030242838.1,XP_030565162.1,XP_022215988.1,XP_002019865.1,XP_001360006.1,XP_016989973.1,XP_002031726.1,XP_020816897.1,XP_002103964.1,XP_016931424.1,XP_017005196.1,XP_002053614.1,XP_002069969.2,XP_002097114.1
OG0010619,XP_001952994.1,XP_017855546.1,XP_016960997.1,XP_017104585.1,XP_017849690.1,XP_017111867.1,XP_001980647.1,XP_017083755.1,XP_017057537.1,XP_001994698.1,XP_023169634.1,XP_017020481.1,NP_524305.2,XP_017143063.1,XP_001998362.1,XP_030244492.1,XP_030565739.1,XP_022216038.1,XP_002019852.1,XP_001359998.1,XP_016989991.1,XP_002031717.1,XP_020811499.1,XP_002103955.1,XP_016925670.1,XP_017005077.1,XP_002053656.1,XP_002072887.2,XP_002097123.1
OG0010620,XP_001953007.1,XP_017861430.1,XP_016952598.1,XP_017104447.1,XP_017845907.1,XP_017123904.1,XP_001981835.1,XP_017079955.1,XP_017052591.1,XP_001989764.1,XP_023175771.2,XP_017017504.1,NP_651363.1,XP_017140532.1,XP_001998746.1,XP_030239534.1,XP_030558905.1,XP_022220953.1,XP_002017082.1,XP_001359295.1,XP_016980560.1,XP_002043905.1,XP_020811982.1,XP_002104881.1,XP_016927195.1,XP_017007508.1,XP_002056460.1,XP_002073866.1,XP_002099076.1
OG0010621,XP_001953009.1,XP_017856048.1,XP_016952597.1,XP_017104443.1,XP_017846641.1,XP_017124107.1,XP_001981833.1,XP_017079935.1,XP_017052590.1,XP_001996269.1,XP_023176950.1,XP_017017502.1,NP_524841.1,XP_017140512.1,XP_001999390.1,XP_017965628.1,XP_030556466.1,XP_022222515.1,XP_002017080.1,XP_001359293.1,XP_016980573.1,XP_002043907.1,XP_020811980.1,XP_002104883.1,XP_016927198.1,XP_017007913.1,XP_002054609.1,XP_002073864.1,XP_002099074.1
